transaction_id,product_id,sale_date,quantity,price_per_unit
1,109,2025-01-11,5,40.22
2,103,2025-01-22,5,33.66
3,110,2025-01-30,5,49.09
4,109,2025-01-23,5,11.38
5,108,2025-01-03,2,25.53
6,106,2025-01-23,2,15.67
7,101,2025-01-29,4,27.45
8,104,2025-01-16,1,27.64
9,106,2025-01-31,3,21.22
10,102,2025-01-23,5,12.58
11,104,2025-01-10,5,31.95
12,106,2025-01-06,2,24.36
13,110,2025-01-29,3,31.97
14,109,2025-01-14,2,21.82
15,105,2025-01-29,2,45.18
16,101,2025-01-14,2,18.08
17,100,2025-01-28,5,45.24
18,109,2025-01-24,5,49.72
19,110,2025-01-25,2,17.74
20,107,2025-01-01,3,35.38
21,110,2025-01-19,4,23.72
22,103,2025-01-25,5,11.34
23,110,2025-01-21,5,36.45
24,109,2025-01-24,3,42.54
25,104,2025-01-27,4,16.22
26,101,2025-01-22,2,34.25
27,104,2025-01-31,1,27.72
28,109,2025-01-26,1,26.82
29,105,2025-01-21,1,25.23
30,105,2025-01-28,5,25.6
31,105,2025-01-28,3,31.74
32,101,2025-01-28,3,10.95
33,101,2025-01-30,4,39.57
34,104,2025-01-25,1,32.46
35,105,2025-01-06,2,29.25
36,100,2025-01-28,3,48.94
37,105,2025-01-01,4,39.7
38,103,2025-01-13,4,17.94
39,110,2025-01-09,4,27.91
40,104,2025-01-02,3,32.81
41,105,2025-01-18,3,13.1
42,102,2025-01-31,3,38.65
43,106,2025-01-27,5,33.0
44,105,2025-01-12,5,46.29
45,102,2025-01-04,3,45.88
46,104,2025-01-24,3,32.64
47,103,2025-01-10,2,48.14
48,109,2025-01-19,4,28.6
49,102,2025-01-31,5,18.37
50,109,2025-01-10,3,31.21
51,108,2025-01-10,4,28.93
52,109,2025-01-25,5,31.43
53,107,2025-01-09,4,21.34
54,109,2025-01-20,2,18.81
55,109,2025-01-07,5,44.56
56,108,2025-01-31,1,32.03
57,105,2025-01-29,3,37.69
58,102,2025-01-21,3,10.32
59,109,2025-01-26,5,17.86
60,101,2025-01-09,1,10.9
61,100,2025-01-26,2,19.24
62,109,2025-01-08,5,32.18
63,106,2025-01-06,4,25.94
64,103,2025-01-19,4,46.0
65,109,2025-01-30,5,23.04
66,110,2025-01-03,3,33.89
67,103,2025-01-27,1,28.34
68,103,2025-01-21,1,23.98
69,102,2025-01-16,5,34.57
